angle_Vertical	Vertical	Vertical_reverse
330	37.7	22.3
331	38.3	21.7
332	38.5	21.5
333	39.2	20.8
334	40	20
335	41.1	18.9
336	42.4	17.6
337	43.3	16.7
338	43.7	16.3
339	43.9	16.1
340	42.6	17.4
341	41.9	18.1
342	40.1	19.9
343	38.4	21.6
344	37.3	22.7
345	36	24
346	35	25
347	34.4	25.6
348	33.6	26.4
349	33	27
350	32.3	27.7
351	31.8	28.2
352	31.2	28.8
353	30.8	29.2
354	30.3	29.7
355	29.8	30.2
356	29.5	30.5
357	28.9	31.1
358	28.5	31.5
359	28.1	31.9
